clinvar	ClinVar aggregates information about genomic variation and its relationship to human health.	https://github.com/biobricks-ai/clinvar	master
gtex	The Genotype-Tissue Expression (GTEx) project is an ongoing effort to build a comprehensive public resource to study tissue-specific gene expression and regulation.	https://github.com/biobricks-ai/gtex	master
hpo	The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities encountered in human disease	https://github.com/biobricks-ai/hpo	master
loinc	LOINC is a common language (set of identifiers, names, and codes) for identifying health measurements, observations, and documents.	https://github.com/biobricks-ai/loinc	master
chembl	Manually curated database of bioactive molecules with drug-like properties	https://github.com/biobricks-ai/chembl	master
ctdbase	CTD is a robust, publicly available database that aims to advance understanding about how environmental exposures affect human health	https://github.com/biobricks-ai/ctdbase	master
dbsnp	The Single Nucleotide Polymorphism Database	https://github.com/biobricks-ai/dbsnp	master
depmap	The Cancer Dependency Map	https://github.com/biobricks-ai/depmap	master
fda	U.S. Food and Drug Administration database	https://github.com/biobricks-ai/fda	main
gdc	The NCI's Genomic Data Commons (GDC)	https://github.com/biobricks-ai/gdc	master
uniprot	UniProt is a freely accessible database of protein sequence and functional information	https://github.com/biobricks-ai/uniprot	master
biobricks-r	R package for biobricks	https://github.com/biobricks-ai/biobricks-r	main
pharmgkb	The Pharmacogenomics Knowledge Base	https://github.com/biobricks-ai/pharmgkb	main
umls	The UMLS integrates and distributes key terminology, classification and coding standards, and associated resources to promote creation of more effective and interoperable biomedical information systems and services, including electronic health records.	https://github.com/biobricks-ai/umls	main
hello-brick	An example brick for testing purposes	https://github.com/biobricks-ai/hello-brick	main
hgnc	The HGNC is a resource for approved human gene nomenclature containing ~42000 gene symbols and names and 1300+ gene families and sets	https://github.com/biobricks-ai/hgnc	master
pubmed	PubMed® comprises more than 34 million citations for biomedical literature	https://github.com/biobricks-ai/pubmed	main
ctgov-aact	ClinicalTrials.gov is a database of privately and publicly funded clinical studies conducted around the world.	https://github.com/biobricks-ai/ctgov-aact	main
gencode	Encyclopedia of genes and genes variants	https://github.com/biobricks-ai/gencode	main
sider	SIDER contains information on marketed medicines and their recorded adverse drug reactions.	https://github.com/biobricks-ai/sider	main
meddra	A rich and highly specific standardised medical terminology to facilitate sharing of regulatory information internationally for medical products used by humans	https://github.com/biobricks-ai/meddra	main
bricktools	a set of tools for auditing bricks	https://github.com/biobricks-ai/bricktools	main
biobricks-issues	A repo for consolidating issues 	https://github.com/biobricks-ai/biobricks-issues	main
medgen	Organizes information related to human medical genetics, such as attributes of conditions with a genetic contribution.	https://github.com/biobricks-ai/medgen	master
targetscan	TargetScan predicts biological targets of miRNAs by searching for the presence of conserved 8mer, 7mer, and 6mer sites that match the seed region of each miRNA	https://github.com/biobricks-ai/targetscan	main
geneontology	The Gene Ontology (GO) knowledgebase is the world’s largest source of information on the functions of genes	https://github.com/biobricks-ai/geneontology	main
mirbase	miRBase: the microRNA database	https://github.com/biobricks-ai/mirbase	master
stringdb	STRING is a database of known and predicted protein-protein interactions.	https://github.com/biobricks-ai/stringdb	main
1000genomes	The 1000 Genomes Project created a catalogue of common human genetic variation, using openly consented samples from people who declared themselves to be healthy.	https://github.com/biobricks-ai/1000genomes	main
oncindex	parameterized reports associating cancer patient variants with anything clinically relevant	https://github.com/biobricks-ai/oncindex	master
github-actions	A repository for github actions used across biobricks	https://github.com/biobricks-ai/github-actions	main
dbgap	results from studies that have investigated the interaction of genotype and phenotype in humans	https://github.com/biobricks-ai/dbgap	master
biobricks.ai-archive	biobricks.ai website	https://github.com/biobricks-ai/biobricks.ai-archive	master
bioportal	A comprehensive repository of biomedical ontologies 	https://github.com/biobricks-ai/bioportal	master
biobricks-portal	Customer Portal for biobricks.ai	https://github.com/biobricks-ai/biobricks-portal	master
pmc	PubMed Central® (PMC) is a free full-text archive of biomedical and life sciences journal literature at the U.S. National Institutes of Health's National Library of Medicine (NIH/NLM)	https://github.com/biobricks-ai/pmc	master
ice	Curated in vivo and in vitro test data, in silico toxicity predictions, chemical property data, and reference chemical lists	https://github.com/biobricks-ai/ice	main
reach	Registration, Evaluation, Authorisation and Restriction of Chemicals Regulation in EEA	https://github.com/biobricks-ai/reach	main
comptox		https://github.com/biobricks-ai/comptox	main
pubchem	PubChem is a database of chemical molecules and their activities against biological assays.	https://github.com/biobricks-ai/pubchem	main
sysrev	Thousands of publicly accessible Sysrev projects wherein users upload documents, define review tasks, recruit reviewers, perform review tasks, and automate review tasks	https://github.com/biobricks-ai/sysrev	main
pubchemrdf	Relational data format for PubChem - a database of chemical molecules and their activities against biological assays. 	https://github.com/biobricks-ai/pubchemrdf	main
toxnotebook	Rmarkdown notebook that reports toxicology features of interest from CompTox and ICE.	https://github.com/biobricks-ai/toxnotebook	main
chemblrdf	ChEMBL is a manually curated database of bioactive molecules with drug-like properties. It brings together chemical, bioactivity and genomic data to aid the translation of genomic information into effective new drugs.	https://github.com/biobricks-ai/chemblrdf	main
chebirdf	Relational data format for Chebi - Dictionary of molecular entities from products of nature or synthetic products used to intervene in the processes of living organisms, incorporating an ontological classification 	https://github.com/biobricks-ai/chebirdf	main
brick-template		https://github.com/biobricks-ai/brick-template	main
toxvaldb	Compilation of tox endpoints for 700k records over >25k chemicals 	https://github.com/biobricks-ai/toxvaldb	main
pdb	Protein Data Bank - 3D structure data for large biological molecules (proteins, DNA, and RNA)	https://github.com/biobricks-ai/pdb	main
rs-brick		https://github.com/biobricks-ai/rs-brick	main
biosim	biological similarity for chemicals	https://github.com/biobricks-ai/biosim	main
zinc	750M purchasable compounds with searchable analogs, 230M purchasable compounds in ready-to-dock, 3D formats	https://github.com/biobricks-ai/zinc	main
bindingdb	2.7M data points for 1.2M compounds and 9K targets	https://github.com/biobricks-ai/bindingdb	main
tox21	Tox21 quantitative high throughput screening (qHTS) 10K library data	https://github.com/biobricks-ai/tox21	main
brick-builder		https://github.com/biobricks-ai/brick-builder	master
echemportal	Reports and datasets by chemical name and number, chemical property, and GHS classification, including physical chemical properties, ecotoxicity, toxicity, environmental fate and behaviour, classification and labelling, exposure and use	https://github.com/biobricks-ai/echemportal	main
ecotox	Single chemical environmental toxicity data for aquatic life, terrestrial plants and wildlife	https://github.com/biobricks-ai/ecotox	main
faers	Information on adverse event and medication error reports submitted to FDA	https://github.com/biobricks-ai/faers	main
chebi	Dictionary of molecular entities from products of nature or synthetic products used to intervene in the processes of living organisms, incorporating an ontological classification	https://github.com/biobricks-ai/chebi	main
pubchemghs	Globally Harmonized System of Classification and Labeling of Chemicals	https://github.com/biobricks-ai/pubchemghs	main
cpdat	49k chemicals categorized by usage or function in 16k consumer products (e.g. shampoo, soap)	https://github.com/biobricks-ai/cpdat	main
cpcat	43,000 chemicals categorized to product usage or function compiled from publically available sources	https://github.com/biobricks-ai/cpcat	main
biobricks	BioBricks makes loading data from biological datasets and databases easy. Python and R interfaces, data version control, and an API for pulling datasets that have been converted to easy-to-use formats.	https://github.com/biobricks-ai/biobricks	master
biobricks.ai		https://github.com/biobricks-ai/biobricks.ai	main
docker-environments		https://github.com/biobricks-ai/docker-environments	main
chemharmony	integrated chemical-property-values from many source databases.	https://github.com/biobricks-ai/chemharmony	main
vae	Variational autoencoder for molecules	https://github.com/biobricks-ai/vae	master
toxcast	EPA data on 1,800 chemicals across 700+ assay endpoints	https://github.com/biobricks-ai/toxcast	main
openfda	Adverse events, drug product labeling, and recall enforcement reports from FDA	https://github.com/biobricks-ai/openfda	main
gists	simple demos	https://github.com/biobricks-ai/gists	main
toxtransformer	BioSim model with Conditional Variational Autoencoder	https://github.com/biobricks-ai/toxtransformer	main
cancerharmony	integrated data from many source databases for carcinogenicity modeling.	https://github.com/biobricks-ai/cancerharmony	main
ontox_bayer		https://github.com/biobricks-ai/ontox_bayer	main
qm9		https://github.com/biobricks-ai/qm9	main
qsartoolbox		https://github.com/biobricks-ai/qsartoolbox	main
bioplanet	Data assets from NCATS Bioplanet	https://github.com/biobricks-ai/bioplanet	main
biobricks-okg	An open knowledge graph for BioBricks.ai	https://github.com/biobricks-ai/biobricks-okg	main
cosing-kg	 CosIng is the European Commission's database detailing cosmetic substances and ingredients, complying with EU regulations, including ingredient labeling and safety evaluations by the Scientific Committee for Consumer Safety (SCCS).	https://github.com/biobricks-ai/cosing-kg	main
ctdbase-kg		https://github.com/biobricks-ai/ctdbase-kg	main
mesh-kg		https://github.com/biobricks-ai/mesh-kg	main
dev-shell		https://github.com/biobricks-ai/dev-shell	master
biobricks-clojure		https://github.com/biobricks-ai/biobricks-clojure	master
ice-kg		https://github.com/biobricks-ai/ice-kg	main
biobricks-script-lib		https://github.com/biobricks-ai/biobricks-script-lib	main
cvtdb		https://github.com/biobricks-ai/cvtdb	main
openalex	OpenAlex is a free index of the world's research ecosystem. It's made by OurResearch with support from Arcadia—a charitable fund of Lisbet Rausing and Peter Baldwin at openalex.org	https://github.com/biobricks-ai/openalex	main
biobricks-okg-tool		https://github.com/biobricks-ai/biobricks-okg-tool	main
toxrefdb		https://github.com/biobricks-ai/toxrefdb	main
semsql	SemSQL: standard SQL views for RDF/OWL ontologies  This project provides a standard collection of SQL tables/views for ontologies, such that you can make queries like this, to find all terms starting with Abnormality in HPO.	https://github.com/biobricks-ai/semsql	main
nih-biobricks-env-issues	an issue tracker repository for the nih-biobricks-env grant	https://github.com/biobricks-ai/nih-biobricks-env-issues	main
nih-reporter	 The NIH RePORTER (Research Portfolio Online Reporting Tools Expenditures and Results) is a searchable database of federally funded biomedical research projects conducted at research institutions, providing information on project funding, results, and publications.	https://github.com/biobricks-ai/nih-reporter	main
uniprot-kg	UniProt is a freely accessible database of protein sequence and functional information.	https://github.com/biobricks-ai/uniprot-kg	main
